rank,studentPopulation,medianBaseSalary,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
1,12195,173700,3,12195,4582,35299332,75,60
2,20961,173500,4,20961,8464,51328461,70,55
2,45878,154500,19,45878,33208,64495611,63,53
4,8532,167600,4,8532,5516,44871096,62,61
5,33882,148800,6,33882,8689,44615007,58,54
6,46947,137200,18,46947,33641,61100980,73,67
7,2307,152600,6,2307,2251,15204855,62,52
8,14910,163700,4,14910,7199,48430359,61,53
9,17855,155000,6,17855,7278,41087604,63,47
10,30688,164000,6,30688,14202,59744979,57,47
11,25870,137200,6,25870,9827,61176584,66,61
12,8005,148100,6,8005,4421,27486883,70,60
13,13918,137300,8,13918,6998,47391010,67,62
14,7171,161300,7,7171,4885,27997693,58,45
15,41024,169000,5,41024,14431,54635593,72,57
16,24594,148200,9,24594,15396,70971547,59,47
17,40547,143500,19,40547,32252,60461843,60,54
18,34250,138700,6,34250,8394,41160533,65,57
19,10807,153100,6,10807,7553,36177528,55,44
20,20413,136600,5,20413,8204,40317227,57,52
21,52376,139100,9,52376,21757,77361905,70,65
22,22720,156000,11,22720,8330,31716749,54,44
23,41236,134800,20,41236,33181,72219528,74,66
24,1940,148700,7,1940,1940,15522081,65,57
25,49530,129600,11,49530,32146,81552786,66,56
26,58857,117300,17,58857,37975,69127340,91,89
27,17893,136000,7,17893,8909,39741443,54,46
28,32160,111000,13,32160,20215,31001894,64,43
29,29237,137300,15,29237,19253,34787367,60,39
30,39059,137700,18,39059,32111,83362561,74,73
31,15970,133400,9,15970,8006,34494686,58,53
32,13458,145300,10,13458,6383,26409169,44,38
33,56554,126800,20,56554,39514,44865510,56,42
34,57324,131200,20,57324,36277,68645780,70,59
35,43217,149900,19,43217,17602,27952964,73,70
36,13268,149600,9,13268,8925,50856461,68,56
37,2735,122600,7,2735,2735,19422347,68,59
38,1689,147500,7,1689,1689,12784986,63,62
39,28096,136400,18,28096,25004,52399383,60,55
40,44404,124500,17,44404,32954,28679244,67,53
41,9785,128700,11,9785,6760,13593864,54,41
42,16502,132000,14,16502,10748,48015609,56,45
43,54243,127300,17,54243,42419,42050254,66,47
44,3112,154400,9,3112,3098,16450893,50,42
45,2319,164600,3,2319,967,6455026,74,57
46,15567,152500,5,15567,7034,29629565,60,50
47,1361,161700,8,1361,1358,7863809,51,44
48,1973,145600,8,1973,1973,12574545,58,52
49,47831,117100,16,47831,35038,35532250,58,47
50,9266,135300,11,9266,5445,22194015,44,34
